id_no,client_zip_codes,organization,org_address1,org_address2,org_city,org_state,org_zip_code,org_telephone,org_coordinates,org_hours,hours_notes,assist_id,assistance,status_id,status,status_date,status_text,requirements,is_first_bold,is_first_red,webpage,googlemaps,org_email,org_county,zip_neighborhoods,org_parent,org_neighborhood
530,"[""99999""]",Legacy Health - BakerRipley,6500 Rookin Street,"Building B, Suite 200",Houston,TX,77074,713-351-7350,"29.711907660495925, -95.49791662630348","{""regular"":[{""days"":[""Mo"",""Tu"",""We"",""Th"",""Fr""],""open"":""08:00"",""close"":""17:00""}]}",,33,Medical - Behavioral Health,1,ACTIVE,10/18/2025,Verified online,"Assessment, medication management,  therapy and psychological testing for depression, bipolar disorder, anxiety, schizophrenia, attention deficit disorders, autism spectrum disorders, developmental delays and learning disabilities.
As a Federally Qualified Health Center (FQHC), its services are open to all regardless of ability to pay.  This does not mean services are free.  Their Specialists will help you find grants, financial assistance, sliding fee scale, etc. to make your care affordable.
",FALSE,FALSE,https://www.legacycommunityhealth.org,"https://www.google.com/maps/place/Legacy+Community+Health+-+Baker-Ripley+Clinic/@29.710864,-95.497981,15z/data=!4m15!1m8!3m7!1s0x8640c2379594d1f5:0x4de5d332b82981d5!2s6500+Rookin+St+Bldg+B+Ste+200,+Houston,+TX+77074!3b1!8m2!3d29.7111976!4d-95.4972008!16s%2Fg%2F11kk6400pp!3m5!1s0x8640c2498bb9c6d5:0x44a0654cce23dc54!8m2!3d29.7108253!4d-95.4980142!16s%2Fg%2F11bv30mmhc?hl=en&entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D",,Harris,"Braeburn, Robindell, Sharpstown",Legacy Community Health,Sharpstown
531,"[""99999""]",Legacy Health - Baytown Garth,3509 Garth Road,,Houston,TX,77521,281-420-8400,"29.761685120954283, -94.97868020506112","{""regular"":[{""days"":[""Mo"",""Tu"",""We"",""Th""],""open"":""08:00"",""close"":""17:30""},{""days"":[""Fr""],""open"":""08:00"",""close"":""18:00""}]}",,31,Medical - Primary Care,1,ACTIVE,10/18/2025,Verified online,"As a Federally Qualified Health Center (FQHC), its services are open to all regardless of ability to pay.  This does not mean services are free.  Their Specialists will help you find grants, financial assistance, sliding fee scale, etc. to make your care affordable.
Behavioral Health
OB/GYN
Pediatrics",FALSE,FALSE,https://www.legacycommunityhealth.org,"https://www.google.com/maps/place/Legacy+Community+Health+-+Baytown+Garth/@29.760791,-94.97853,15z/data=!4m15!1m8!3m7!1s0x863f5e9e10884a09:0xac9587bb56633f77!2s3509+Garth+Rd,+Baytown,+TX+77521!3b1!8m2!3d29.7607909!4d-94.9785298!16s%2Fg%2F11hbmnnnyq!3m5!1s0x863f5fe1a4158cdf:0x45883d67eb831369!8m2!3d29.7608248!4d-94.9785618!16s%2Fg%2F11vdw8g21b?hl=en&entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D",,Harris,"Baytown, Baytown (North), Highland Farms",Legacy Community Health,Baytown
532,"[""99999""]",Legacy Health - Baytown Garth,3509 Garth Road,,Houston,TX,77521,281-420-8400,"29.761685120954283, -94.97868020506112","{""regular"":[{""days"":[""Mo"",""Tu"",""We"",""Th""],""open"":""08:00"",""close"":""17:30""},{""days"":[""Fr""],""open"":""08:00"",""close"":""18:00""}]}",,33,Medical - Behavioral Health,1,ACTIVE,10/18/2025,Verified online,"Assessment, medication management,  therapy and psychological testing for depression, bipolar disorder, anxiety, schizophrenia, attention deficit disorders, autism spectrum disorders, developmental delays and learning disabilities.
As a Federally Qualified Health Center (FQHC), its services are open to all regardless of ability to pay.  This does not mean services are free.  Their Specialists will help you find grants, financial assistance, sliding fee scale, etc. to make your care affordable.
",FALSE,FALSE,https://www.legacycommunityhealth.org,"https://www.google.com/maps/place/Legacy+Community+Health+-+Baytown+Garth/@29.760791,-94.97853,15z/data=!4m15!1m8!3m7!1s0x863f5e9e10884a09:0xac9587bb56633f77!2s3509+Garth+Rd,+Baytown,+TX+77521!3b1!8m2!3d29.7607909!4d-94.9785298!16s%2Fg%2F11hbmnnnyq!3m5!1s0x863f5fe1a4158cdf:0x45883d67eb831369!8m2!3d29.7608248!4d-94.9785618!16s%2Fg%2F11vdw8g21b?hl=en&entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D",,Harris,"Baytown, Baytown (North), Highland Farms",Legacy Community Health,Baytown
533,"[""99999""]",Legacy Health - Bissonnet Pediatrics,12667 Bissonnet Street,,Houston,TX,77099,713-814-3598,"29.677099933001386, -95.6015733556588","{""regular"":[{""days"":[""Mo"",""Tu"",""We"",""Th"",""Fr""],""open"":""08:00"",""close"":""17:00""}]}",,31,Medical - Primary Care,1,ACTIVE,10/18/2025,Verified online,"As a Federally Qualified Health Center (FQHC), its services are open to all regardless of ability to pay.  This does not mean services are free.  Their Specialists will help you find grants, financial assistance, sliding fee scale, etc. to make your care affordable.
Pediatrics
Behavioral Health
Vaccinations",FALSE,FALSE,https://www.legacycommunityhealth.org,"https://www.google.com/maps/place/Legacy+Community+Health+-+Bissonnet+Pediatrics/@29.676783,-95.601627,16z/data=!4m15!1m8!3m7!1s0x8640dd78d4868625:0xe616961881a2f86d!2s12667+Bissonnet+St,+Houston,+TX+77099!3b1!8m2!3d29.6767825!4d-95.6016268!16s%2Fg%2F11c5kckhbc!3m5!1s0x8640dd78c39e740f:0x963e00119d2858b!8m2!3d29.6767825!4d-95.6016268!16s%2Fg%2F11b6j71gry?hl=en&entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D",,Harris,Alief,Legacy Community Health,Alief
534,"[""99999""]",Legacy Health - Bissonnet Pediatrics,12667 Bissonnet Street,,Houston,TX,77099,713-814-3598,"29.677099933001386, -95.6015733556588","{""regular"":[{""days"":[""Mo"",""Tu"",""We"",""Th"",""Fr""],""open"":""08:00"",""close"":""17:00""}]}",,33,Medical - Behavioral Health,1,ACTIVE,10/18/2025,Verified online,"Assessment, medication management,  therapy and psychological testing for depression, bipolar disorder, anxiety, schizophrenia, attention deficit disorders, autism spectrum disorders, developmental delays and learning disabilities.
As a Federally Qualified Health Center (FQHC), its services are open to all regardless of ability to pay.  This does not mean services are free.  Their Specialists will help you find grants, financial assistance, sliding fee scale, etc. to make your care affordable.
",FALSE,FALSE,https://www.legacycommunityhealth.org,"https://www.google.com/maps/place/Legacy+Community+Health+-+Bissonnet+Pediatrics/@29.676783,-95.601627,16z/data=!4m15!1m8!3m7!1s0x8640dd78d4868625:0xe616961881a2f86d!2s12667+Bissonnet+St,+Houston,+TX+77099!3b1!8m2!3d29.6767825!4d-95.6016268!16s%2Fg%2F11c5kckhbc!3m5!1s0x8640dd78c39e740f:0x963e00119d2858b!8m2!3d29.6767825!4d-95.6016268!16s%2Fg%2F11b6j71gry?hl=en&entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D",,Harris,Alief,Legacy Community Health,Alief
535,"[""99999""]",Legacy Health - Deer Park,3430 Center Street,,Houston,TX,77536,281-628-2040,"29.680812270963965, -95.12463954213996","{""regular"":[{""days"":[""Mo"",""Tu"",""We"",""Th"",""Fr""],""open"":""08:00"",""close"":""17:00""}]}",,31,Medical - Primary Care,1,ACTIVE,10/18/2025,Verified online,"As a Federally Qualified Health Center (FQHC), its services are open to all regardless of ability to pay.  This does not mean services are free.  Their Specialists will help you find grants, financial assistance, sliding fee scale, etc. to make your care affordable.
Pediatrics
Behavioral Health
OB/GYN
Vaccinations",FALSE,FALSE,https://www.legacycommunityhealth.org,"https://www.google.com/maps/place/Legacy+Community+Health+-+Deer+Park/@29.679992,-95.124661,15z/data=!4m15!1m8!3m7!1s0x86409f5d18ab2f03:0x3786ce705584b3f1!2s3430+Center+St,+Deer+Park,+TX+77536!3b1!8m2!3d29.6799918!4d-95.1246608!16s%2Fg%2F11bw3y_yq8!3m5!1s0x86409f5d18aaae7d:0x9f1e8c35fd99102a!8m2!3d29.6799723!4d-95.1246391!16s%2Fg%2F11df0x5803?hl=en&entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D",,Harris,"Deer Park, Deer Park Gardens",Legacy Community Health,Deer Park
536,"[""99999""]",Legacy Health - Deer Park,3430 Center Street,,Houston,TX,77536,281-628-2040,"29.680812270963965, -95.12463954213996","{""regular"":[{""days"":[""Mo"",""Tu"",""We"",""Th"",""Fr""],""open"":""08:00"",""close"":""17:00""}]}",,33,Medical - Behavioral Health,1,ACTIVE,10/18/2025,Verified online,"Assessment, medication management,  therapy and psychological testing for depression, bipolar disorder, anxiety, schizophrenia, attention deficit disorders, autism spectrum disorders, developmental delays and learning disabilities.
As a Federally Qualified Health Center (FQHC), its services are open to all regardless of ability to pay.  This does not mean services are free.  Their Specialists will help you find grants, financial assistance, sliding fee scale, etc. to make your care affordable.
",FALSE,FALSE,https://www.legacycommunityhealth.org,"https://www.google.com/maps/place/Legacy+Community+Health+-+Deer+Park/@29.679992,-95.124661,15z/data=!4m15!1m8!3m7!1s0x86409f5d18ab2f03:0x3786ce705584b3f1!2s3430+Center+St,+Deer+Park,+TX+77536!3b1!8m2!3d29.6799918!4d-95.1246608!16s%2Fg%2F11bw3y_yq8!3m5!1s0x86409f5d18aaae7d:0x9f1e8c35fd99102a!8m2!3d29.6799723!4d-95.1246391!16s%2Fg%2F11df0x5803?hl=en&entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D",,Harris,"Deer Park, Deer Park Gardens",Legacy Community Health,Deer Park
537,"[""99999""]",Legacy Health - Fifth Ward Lyons,3811 Lyons Avenue,,Houston,TX,77020,832-548-5400,"29.776965985874888, -95.33133796385674","{""regular"":[{""days"":[""Mo"",""Tu"",""We"",""Th"",""Fr""],""open"":""08:00"",""close"":""17:15""}],""special"":[{""pattern"":""4th & 5th Sa"",""open"":""08:00"",""close"":""16:00""}]}",,31,Medical - Primary Care,1,ACTIVE,10/18/2025,Verified online,"As a Federally Qualified Health Center (FQHC), its services are open to all regardless of ability to pay.  This does not mean services are free.  Their Specialists will help you find grants, financial assistance, sliding fee scale, etc. to make your care affordable.
Primary Care for Adults & Children
Behavioral Health
HIV/STI Care
OB/GYN
Pharmacy
Vaccinations
Vision",FALSE,FALSE,https://www.legacycommunityhealth.org,"https://www.google.com/maps/place/Legacy+Community+Health+-+Fifth+Ward+Lyons/@29.776221,-95.331574,15z/data=!3m1!5s0x8640b93564701c47:0x3dfad23e67baa4df!4m15!1m8!3m7!1s0x8640b9356457405b:0xed98bb940f9e3e54!2s3811+Lyons+Ave,+Houston,+TX+77020!3b1!8m2!3d29.7762206!4d-95.3315738!16s%2Fg%2F11g8xjrxvs!3m5!1s0x8640b954bc558973:0x21e021ecc34bbf6!8m2!3d29.7762095!4d-95.3315628!16s%2Fg%2F1td13nfn?hl=en&entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D",,Harris,"Denver Harbor / Port Houston, Fifth Ward, Northside",Legacy Community Health,Northside
538,"[""99999""]",Legacy Health - Fifth Ward Lyons,3811 Lyons Avenue,,Houston,TX,77020,832-548-5400,"29.776965985874888, -95.33133796385674","{""regular"":[{""days"":[""Mo"",""Tu"",""We"",""Th"",""Fr""],""open"":""08:00"",""close"":""17:15""}],""special"":[{""pattern"":""4th & 5th Sa"",""open"":""08:00"",""close"":""16:00""}]}",,32,Medical - Dental & Vision,1,ACTIVE,01/27/2026,Verified online,"Dental & Vision
As a Federally Qualified Health Center (FQHC), its services are open to all regardless of ability to pay.  This does not mean services are free.  Their Specialists will help you find grants, financial assistance, sliding fee scale, etc. to make your care affordable.
Dental services include children's dentistry, cleanings, exams, extractions, screenings, fillings and urgent care (Emergencies).
Vision services include eye exams, diabetic vision screens, glaucoma testing, HIV vision exams, prescription glasses, contact lenses and frames.",TRUE,FALSE,https://www.legacycommunityhealth.org,"https://www.google.com/maps/place/Legacy+Community+Health+-+Fifth+Ward+Lyons/@29.776221,-95.331574,15z/data=!3m1!5s0x8640b93564701c47:0x3dfad23e67baa4df!4m15!1m8!3m7!1s0x8640b9356457405b:0xed98bb940f9e3e54!2s3811+Lyons+Ave,+Houston,+TX+77020!3b1!8m2!3d29.7762206!4d-95.3315738!16s%2Fg%2F11g8xjrxvs!3m5!1s0x8640b954bc558973:0x21e021ecc34bbf6!8m2!3d29.7762095!4d-95.3315628!16s%2Fg%2F1td13nfn?hl=en&entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D",,Harris,"Denver Harbor / Port Houston, Fifth Ward, Northside",Legacy Community Health,Northside
539,"[""99999""]",Legacy Health - Fifth Ward Lyons,3811 Lyons Avenue,,Houston,TX,77020,832-548-5400,"29.776965985874888, -95.33133796385674","{""regular"":[{""days"":[""Mo"",""Tu"",""We"",""Th"",""Fr""],""open"":""08:00"",""close"":""17:15""}],""special"":[{""pattern"":""4th & 5th Sa"",""open"":""08:00"",""close"":""16:00""}]}",,33,Medical - Behavioral Health,1,ACTIVE,10/18/2025,Verified online,"Assessment, medication management,  therapy and psychological testing for depression, bipolar disorder, anxiety, schizophrenia, attention deficit disorders, autism spectrum disorders, developmental delays and learning disabilities.
As a Federally Qualified Health Center (FQHC), its services are open to all regardless of ability to pay.  This does not mean services are free.  Their Specialists will help you find grants, financial assistance, sliding fee scale, etc. to make your care affordable.
",FALSE,FALSE,https://www.legacycommunityhealth.org,"https://www.google.com/maps/place/Legacy+Community+Health+-+Fifth+Ward+Lyons/@29.776221,-95.331574,15z/data=!3m1!5s0x8640b93564701c47:0x3dfad23e67baa4df!4m15!1m8!3m7!1s0x8640b9356457405b:0xed98bb940f9e3e54!2s3811+Lyons+Ave,+Houston,+TX+77020!3b1!8m2!3d29.7762206!4d-95.3315738!16s%2Fg%2F11g8xjrxvs!3m5!1s0x8640b954bc558973:0x21e021ecc34bbf6!8m2!3d29.7762095!4d-95.3315628!16s%2Fg%2F1td13nfn?hl=en&entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D",,Harris,"Denver Harbor / Port Houston, Fifth Ward, Northside",Legacy Community Health,Northside
540,"[""99999""]",Legacy Health - Galena Park,13940 Bonham Street,,Houston,TX,77015,832-548-5240,"29.776703738193493, -95.1760288795972","{""regular"":[{""days"":[""Mo"",""Tu"",""We"",""Th"",""Fr""],""open"":""08:00"",""close"":""16:00""}]}",,31,Medical - Primary Care,1,ACTIVE,10/18/2025,Verified online,"As a Federally Qualified Health Center (FQHC), its services are open to all regardless of ability to pay.  This does not mean services are free.  Their Specialists will help you find grants, financial assistance, sliding fee scale, etc. to make your care affordable.
Dental
",FALSE,FALSE,https://www.legacycommunityhealth.org,"https://www.google.com/maps/place/Legacy+Galena+Park+Dental+Clinic+at+Almatha+Clark+Taylor+Clinic/@29.775996,-95.176222,15z/data=!4m15!1m8!3m7!1s0x8640a38669a0dafd:0x4f22e38d37775ed5!2s13940+Bonham+St,+Houston,+TX+77015!3b1!8m2!3d29.7759964!4d-95.1762219!16s%2Fg%2F11bw3ysfpb!3m5!1s0x8640a39be342dc43:0xe6891a57f4ec7402!8m2!3d29.7760042!4d-95.1762259!16s%2Fg%2F11l6tjrwxw?hl=en&entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D",,Harris,"Cloverleaf, Northeast Houston, Northshore",Legacy Community Health,Northeast Houston
541,"[""99999""]",Legacy Health - Galena Park,13940 Bonham Street,,Houston,TX,77015,832-548-5240,"29.776703738193493, -95.1760288795972","{""regular"":[{""days"":[""Mo"",""Tu"",""We"",""Th"",""Fr""],""open"":""08:00"",""close"":""16:00""}]}",,32,Medical - Dental & Vision,1,ACTIVE,01/27/2026,Verified online,"Dental
As a Federally Qualified Health Center (FQHC), its services are open to all regardless of ability to pay.  This does not mean services are free.  Their Specialists will help you find grants, financial assistance, sliding fee scale, etc. to make your care affordable.
Dental services include children's dentistry, cleanings, exams, extractions, screenings, fillings and urgent care (Emergencies).",TRUE,FALSE,https://www.legacycommunityhealth.org,"https://www.google.com/maps/place/Legacy+Galena+Park+Dental+Clinic+at+Almatha+Clark+Taylor+Clinic/@29.775996,-95.176222,15z/data=!4m15!1m8!3m7!1s0x8640a38669a0dafd:0x4f22e38d37775ed5!2s13940+Bonham+St,+Houston,+TX+77015!3b1!8m2!3d29.7759964!4d-95.1762219!16s%2Fg%2F11bw3ysfpb!3m5!1s0x8640a39be342dc43:0xe6891a57f4ec7402!8m2!3d29.7760042!4d-95.1762259!16s%2Fg%2F11l6tjrwxw?hl=en&entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D",,Harris,"Cloverleaf, Northeast Houston, Northshore",Legacy Community Health,Northeast Houston
542,"[""99999""]",Legacy Health - Gulfton Dashwood,5420 Dashwood Drive,,Houston,TX,77081,"713-779-7200, 713-814-3553 (HIV)","29.708264853959573, -95.47500805381556","{""regular"":[{""days"":[""Mo"",""Tu"",""We"",""Th"",""Fr""],""open"":""08:00"",""close"":""17:00""}]}",,31,Medical - Primary Care,1,ACTIVE,10/18/2025,Verified online,"As a Federally Qualified Health Center (FQHC), its services are open to all regardless of ability to pay.  This does not mean services are free.  Their Specialists will help you find grants, financial assistance, sliding fee scale, etc. to make your care affordable.
Primary Care for Adults and Children
OB/GYN
Endocrinology
Vaccinations
HIV/STI Care
Behavioral Health",FALSE,FALSE,https://www.legacycommunityhealth.org,"https://www.google.com/maps/place/Legacy+Community+Health+-+Gulfton+Dashwood/@29.7079481,-95.4799541,16z/data=!3m2!4b1!5s0x8640c188ffd40d4b:0xb1250d9b80f5591f!4m6!3m5!1s0x8640c11894eee1e1:0x93b35dfd7c425b41!8m2!3d29.7079482!4d-95.4750778!16s%2Fg%2F11k3ry7gdf?entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D",,Harris,Gulfton,Legacy Community Health,Gulfton
543,"[""99999""]",Legacy Health - Gulfton Dashwood,5420 Dashwood Drive,,Houston,TX,77081,"713-779-7200, 713-814-3553 (HIV)","29.708264853959573, -95.47500805381556","{""regular"":[{""days"":[""Mo"",""Tu"",""We"",""Th"",""Fr""],""open"":""08:00"",""close"":""17:00""}]}",,33,Medical - Behavioral Health,1,ACTIVE,10/18/2025,Verified online,"Assessment, medication management,  therapy and psychological testing for depression, bipolar disorder, anxiety, schizophrenia, attention deficit disorders, autism spectrum disorders, developmental delays and learning disabilities.
As a Federally Qualified Health Center (FQHC), its services are open to all regardless of ability to pay.  This does not mean services are free.  Their Specialists will help you find grants, financial assistance, sliding fee scale, etc. to make your care affordable.
",FALSE,FALSE,https://www.legacycommunityhealth.org,"https://www.google.com/maps/place/Legacy+Community+Health+-+Gulfton+Dashwood/@29.7079481,-95.4799541,16z/data=!3m2!4b1!5s0x8640c188ffd40d4b:0xb1250d9b80f5591f!4m6!3m5!1s0x8640c11894eee1e1:0x93b35dfd7c425b41!8m2!3d29.7079482!4d-95.4750778!16s%2Fg%2F11k3ry7gdf?entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D",,Harris,Gulfton,Legacy Community Health,Gulfton
544,"[""99999""]",Legacy Health - Missouri City,3021 Texas Parkway,,Houston,TX,77489,"713-814-3655 (Seniors), 832-548-5000 (Pediatrics)","29.58232828462606, -95.52471140559021","{""regular"":[{""days"":[""Mo"",""Tu"",""We"",""Th"",""Fr""],""open"":""08:00"",""close"":""17:00""}]}",,31,Medical - Primary Care,1,ACTIVE,10/18/2025,Verified online,"As a Federally Qualified Health Center (FQHC), its services are open to all regardless of ability to pay.  This does not mean services are free.  Their Specialists will help you find grants, financial assistance, sliding fee scale, etc. to make your care affordable.
Primary Care, Nutrition Counseling, Behavioral Health and social services for Seniors
Pediatrics
",FALSE,FALSE,https://www.legacycommunityhealth.org,"https://www.google.com/maps/place/Legacy+Community+Health+-+Missouri+City/@29.582179,-95.525044,16z/data=!4m15!1m8!3m7!1s0x8640e8d357c5ee9f:0xc1ce0f701f4cee35!2s3021+Texas+Pkwy,+Missouri+City,+TX+77489!3b1!8m2!3d29.5821788!4d-95.5250441!16s%2Fg%2F11s7phw6zw!3m5!1s0x8640e9106ff9abc9:0x9f496310fe4abe37!8m2!3d29.581806!4d-95.524787!16s%2Fg%2F11x_m3bzxk?hl=en&entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D",,Fort Bend,"Missouri City, Olde Missouri City Market Place, Quail Green South, Quail Valley, Sta-mo Annex",Legacy Community Health,Quail Green South
545,"[""99999""]",Legacy Health - Missouri City,3021 Texas Parkway,,Houston,TX,77489,"713-814-3655 (Seniors), 832-548-5000 (Pediatrics)","29.58232828462606, -95.52471140559021","{""regular"":[{""days"":[""Mo"",""Tu"",""We"",""Th"",""Fr""],""open"":""08:00"",""close"":""17:00""}]}",,33,Medical - Behavioral Health,1,ACTIVE,10/18/2025,Verified online,"Assessment, medication management,  therapy and psychological testing for depression, bipolar disorder, anxiety, schizophrenia, attention deficit disorders, autism spectrum disorders, developmental delays and learning disabilities.
As a Federally Qualified Health Center (FQHC), its services are open to all regardless of ability to pay.  This does not mean services are free.  Their Specialists will help you find grants, financial assistance, sliding fee scale, etc. to make your care affordable.
",FALSE,FALSE,https://www.legacycommunityhealth.org,"https://www.google.com/maps/place/Legacy+Community+Health+-+Missouri+City/@29.582179,-95.525044,16z/data=!4m15!1m8!3m7!1s0x8640e8d357c5ee9f:0xc1ce0f701f4cee35!2s3021+Texas+Pkwy,+Missouri+City,+TX+77489!3b1!8m2!3d29.5821788!4d-95.5250441!16s%2Fg%2F11s7phw6zw!3m5!1s0x8640e9106ff9abc9:0x9f496310fe4abe37!8m2!3d29.581806!4d-95.524787!16s%2Fg%2F11x_m3bzxk?hl=en&entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D",,Fort Bend,"Missouri City, Olde Missouri City Market Place, Quail Green South, Quail Valley, Sta-mo Annex",Legacy Community Health,Quail Green South
546,"[""99999""]",Legacy Health - Montrose,1415 California Street,,Houston,TX,77006,832-548-5100,"29.745216478038515, -95.39412237160275","{""regular"":[{""days"":[""Mo"",""Tu"",""We"",""Th""],""open"":""08:00"",""close"":""20:00""},{""days"":[""Fr""],""open"":""08:00"",""close"":""18:00""},{""days"":[""Sa""],""open"":""08:00"",""close"":""17:00""}]}",,31,Medical - Primary Care,1,ACTIVE,10/18/2025,Verified online,"As a Federally Qualified Health Center (FQHC), its services are open to all regardless of ability to pay.  This does not mean services are free.  Their Specialists will help you find grants, financial assistance, sliding fee scale, etc. to make your care affordable.
Primary Care for Adults & Seniors
Behavioral Health
Dental
Endocrinology
HIV/STI Care
OB/GYN
Pharmacy
Vision",FALSE,FALSE,https://www.legacycommunityhealth.org,"https://www.google.com/maps/place/Legacy+Community+Health+-+Montrose/@29.744971,-95.394107,15z/data=!3m1!5s0x8640c09e27b4c3d1:0xac5ecae0ee95af6e!4m15!1m8!3m7!1s0x8640c09e279761ad:0xcd180ef4577c61b5!2s1415+California+St,+Houston,+TX+77006!3b1!8m2!3d29.7449712!4d-95.3941072!16s%2Fg%2F11bw3hj46f!3m5!1s0x8640bf661dc4f50d:0x5c53dd1b79a687fa!8m2!3d29.7450549!4d-95.3941256!16s%2Fg%2F1tff7_83?hl=en&entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D",,Harris,"Hyde Park, Montrose, South Central Houston",Legacy Community Health,Hyde Park
547,"[""99999""]",Legacy Health - Montrose,1415 California Street,,Houston,TX,77006,832-548-5100,"29.745216478038515, -95.39412237160275","{""regular"":[{""days"":[""Mo"",""Tu"",""We"",""Th""],""open"":""08:00"",""close"":""20:00""},{""days"":[""Fr""],""open"":""08:00"",""close"":""18:00""},{""days"":[""Sa""],""open"":""08:00"",""close"":""17:00""}]}",,32,Medical - Dental & Vision,1,ACTIVE,01/27/2026,Verified online,"Dental & Vision
As a Federally Qualified Health Center (FQHC), its services are open to all regardless of ability to pay.  This does not mean services are free.  Their Specialists will help you find grants, financial assistance, sliding fee scale, etc. to make your care affordable.
Dental services include children's dentistry, cleanings, exams, extractions, screenings, fillings and urgent care (Emergencies).
Vision services include eye exams, diabetic vision screens, glaucoma testing, HIV vision exams, prescription glasses, contact lenses and frames.",TRUE,FALSE,https://www.legacycommunityhealth.org,"https://www.google.com/maps/place/Legacy+Community+Health+-+Montrose/@29.744971,-95.394107,15z/data=!3m1!5s0x8640c09e27b4c3d1:0xac5ecae0ee95af6e!4m15!1m8!3m7!1s0x8640c09e279761ad:0xcd180ef4577c61b5!2s1415+California+St,+Houston,+TX+77006!3b1!8m2!3d29.7449712!4d-95.3941072!16s%2Fg%2F11bw3hj46f!3m5!1s0x8640bf661dc4f50d:0x5c53dd1b79a687fa!8m2!3d29.7450549!4d-95.3941256!16s%2Fg%2F1tff7_83?hl=en&entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D",,Harris,"Hyde Park, Montrose, South Central Houston",Legacy Community Health,Hyde Park
548,"[""99999""]",Legacy Health - Montrose,1415 California Street,,Houston,TX,77006,832-548-5100,"29.745216478038515, -95.39412237160275","{""regular"":[{""days"":[""Mo"",""Tu"",""We"",""Th""],""open"":""08:00"",""close"":""20:00""},{""days"":[""Fr""],""open"":""08:00"",""close"":""18:00""},{""days"":[""Sa""],""open"":""08:00"",""close"":""17:00""}]}",,33,Medical - Behavioral Health,1,ACTIVE,10/18/2025,Verified online,"Assessment, medication management,  therapy and psychological testing for depression, bipolar disorder, anxiety, schizophrenia, attention deficit disorders, autism spectrum disorders, developmental delays and learning disabilities.
As a Federally Qualified Health Center (FQHC), its services are open to all regardless of ability to pay.  This does not mean services are free.  Their Specialists will help you find grants, financial assistance, sliding fee scale, etc. to make your care affordable.
",FALSE,FALSE,https://www.legacycommunityhealth.org,"https://www.google.com/maps/place/Legacy+Community+Health+-+Montrose/@29.744971,-95.394107,15z/data=!3m1!5s0x8640c09e27b4c3d1:0xac5ecae0ee95af6e!4m15!1m8!3m7!1s0x8640c09e279761ad:0xcd180ef4577c61b5!2s1415+California+St,+Houston,+TX+77006!3b1!8m2!3d29.7449712!4d-95.3941072!16s%2Fg%2F11bw3hj46f!3m5!1s0x8640bf661dc4f50d:0x5c53dd1b79a687fa!8m2!3d29.7450549!4d-95.3941256!16s%2Fg%2F1tff7_83?hl=en&entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D",,Harris,"Hyde Park, Montrose, South Central Houston",Legacy Community Health,Hyde Park
